symbol,bid,marketCap,displayName,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,firstTradeDateMilliseconds,marketState,averageAnalystRating,tradeable,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,pageViewGrowthWeekly,dividendDate,trailingThreeMonthNavReturns,trailingThreeMonthReturns,ipoExpectedDate,ytdReturn
FB,219.35,597656403968.0,Meta Platforms,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,1.0,HIGH,USD,1337347800000.0,POST,2.1 - Buy,0.0,NMS,"Meta Platforms, Inc.","Meta Platforms, Inc.",finmb_20765463,America/New_York,EDT,-14400000.0,us_market,0.0,2.0,-0.1685159,1648163128.0,219.2,-0.37001038,6.1100006,2.862363,1648152005.0,219.57,220.67,214.84 - 220.67,214.84,30950968.0,213.46,219.45,9.0,9.0,NasdaqGS,USD,215.0,35706585.0,33027660.0,33.75,0.18162738,185.82 - 384.33,-164.75998,-0.42869404,185.82,384.33,1643817904.0,1650970740.0,1651492800.0,0.0,15.945534,0.0,13.77,14.47,12.39,17.72155,2309080064.0,44.299,243.1764,-23.6064,-0.0970752,319.32565,-99.755646,-0.3123947,15.174153,4.9565454,15.0,0.0,-0.08560263,,,,,
AAPL,173.91,2840717950976.0,Apple,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,345479400000.0,POST,1.8 - Buy,False,NMS,Apple Inc.,Apple Inc.,finmb_24937,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.31596658,1648163159.0,173.52,-0.55000305,3.8600006,2.267787,1648152004.0,174.07,174.14,170.21 - 174.14,170.21,89540470.0,170.21,173.92,8.0,9.0,NasdaqGS,USD,171.06,93428037.0,98045060.0,55.210007,0.4644961,118.86 - 182.94,-8.869995,-0.048485816,118.86,182.94,1643301000.0,1651003200.0,1651521600.0,0.865,28.93932,0.005081957,6.015,6.56,6.16,28.25812,16319399936.0,4.402,166.3484,7.7216034,0.04641826,155.07365,18.996353,0.12249891,26.535063,39.543392,15.0,0.0,-0.029798048,1644451200.0,,,,
AMZN,3265.0,1665441333248.0,Amazon.com,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,863703000000.0,POST,1.7 - Buy,False,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",finmb_18749,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.24381316,1648163165.0,3265.01,-7.9799805,4.830078,0.14779198,1648152004.0,3272.99,3282.37,3201.0 - 3282.37,3201.0,2594990.0,3268.16,3270.0,9.0,8.0,NasdaqGS,USD,3274.99,3876027.0,4002620.0,601.54004,0.22517361,2671.45 - 3773.08,-500.0901,-0.13254161,2671.45,3773.08,1643904060.0,1651089600.0,1651521600.0,0.0,50.501312,0.0,64.81,72.85,48.92,66.904945,508844000.0,271.601,3037.7424,235.24756,0.07744157,3331.5981,-58.608154,-0.017591603,44.9278,12.050728,15.0,0.0,-0.5083351,,,,,
NFLX,376.0,166801342464.0,Netflix,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1022160600000.0,POST,2.3 - Buy,False,NMS,"Netflix, Inc.","Netflix, Inc.",finmb_32012,America/New_York,EDT,-14400000.0,us_market,False,2.0,0.17300415,1648163139.0,376.36,0.6499939,1.2200012,0.32577673,1648152004.0,375.71,379.76,368.9 - 379.76,368.9,3882882.0,374.49,377.49,10.0,8.0,NasdaqGS,USD,379.76,8117468.0,5493800.0,45.889984,0.13913645,329.82 - 700.99,-325.28,-0.46402946,329.82,700.99,1650398400.0,1650398400.0,1650398400.0,0.0,33.426155,0.0,11.24,14.37,11.01,34.12443,443963008.0,35.699,402.9166,-27.206604,-0.06752416,538.7532,-163.04318,-0.30263057,26.145441,10.524384,15.0,0.0,0.03968951,,,,,
GOOG,2820.0,1866457415680.0,Alphabet,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1092922200000.0,POST,1.5 - Strong Buy,False,NMS,Alphabet Inc.,Alphabet Inc.,finmb_29096,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.008845675,1648162796.0,2825.99,-0.25,56.16992,2.0277436,1648152004.0,2826.24,2827.93,2760.7876 - 2827.93,2760.7876,1022870.0,2770.07,2825.99,14.0,9.0,NasdaqGS,USD,2785.45,1575242.0,1474700.0,815.51,0.4055791,2010.73 - 3042.0,-215.76001,-0.070927024,2010.73,3042.0,,,,0.0,25.189978,0.0,112.197,136.06,115.94,24.376745,315639008.0,380.044,2695.3713,130.86865,0.048553105,2767.096,59.144043,0.021374049,20.772013,7.4366126,15.0,0.0,-0.10284706,,,,,
RMT,0.0,474598944.0,Royce Micro-Cap Trust,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,755965800000.0,POST,,False,NYQ,"Royce Micro-Cap Trust, Inc.","Royce Micro-Cap Trust, Inc.",finmb_3203519,America/New_York,EDT,-14400000.0,us_market,False,2.0,,,,,0.12,1.15607,1648152002.0,10.5,10.54,10.4 - 10.54,10.4,71854.0,10.38,0.0,8.0,8.0,NYSE,USD,10.48,148327.0,100070.0,1.1499996,0.12299461,9.35 - 12.69,-2.1899996,-0.1725768,9.35,12.69,,,,0.84,4.9810247,0.08092485,2.108,,,,45199900.0,13.06,10.3666,0.13339996,0.012868246,11.4358,-0.9357996,-0.08183071,,0.8039816,15.0,0.0,0.0030618897,1545868800.0,,,,
DS-PB,24.4,295714112.0,,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1048084200000.0,POST,,False,NYQ,Drive Shack Inc. Preferred Seri,Drive Shack Inc.,finmb_2557861,America/New_York,EDT,-14400000.0,us_market,False,2.0,,,,,-0.280001,-1.13498,1648151447.0,24.39,24.39,24.04 - 24.39,24.04,1598.0,24.67,24.7,9.0,10.0,NYSE,USD,24.45,3487.0,4461.0,3.1299992,0.1472248,21.26 - 26.66,-2.2700005,-0.08514631,21.26,26.66,,,,0.0,,0.0,-0.412,,,,67027100.0,-0.36,24.460356,-0.07035637,-0.0028763427,25.380405,-0.99040604,-0.039022468,,-67.74999,15.0,0.0,-0.4697994,1651449600.0,,,,
ADMT,,6691261.0,ADM Tronics Unlimited,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,648394200000.0,POST,,False,PNK,ADM TRONICS UNLIMITED INC,"ADM Tronics Unlimited, Inc.",finmb_346288,America/New_York,EDT,-14400000.0,us_market,False,4.0,,,,,0.017449997,21.397911,1648151011.0,0.099,0.099,0.099 - 0.099,0.099,1000.0,0.08155,,,,Other OTC,USD,0.099,8213.0,600.0,0.019000001,0.23750003,0.08 - 0.18,-0.08100001,-0.45000002,0.08,0.18,,,,0.0,,0.0,-0.009,,,,67588496.0,0.039,0.0942,0.0047999993,0.050955407,0.1145,-0.015500002,-0.1353712,,2.5384614,15.0,0.0,,,,,,
LGF-B,0.0,3436769024.0,,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1481293800000.0,POST,2.3 - Buy,False,NYQ,Lions Gate Entertainment Corpor,Lions Gate Entertainment Corp.,finmb_30864,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.0672058,1648152088.0,14.87,-0.0100002,-0.0299997,-0.20134,1648152002.0,14.87,14.91,14.61 - 14.91,14.61,412569.0,14.9,0.0,10.0,8.0,NYSE,USD,14.86,670247.0,447490.0,4.34,0.41215578,10.53 - 18.77,-3.9000006,-0.2077784,10.53,18.77,,,,0.0,,0.0,-0.549,-0.04,-0.55,-27.036364,141960992.0,12.155,14.2592,0.6107998,0.04283549,14.1618,0.7081995,0.05000773,-371.75,1.2233648,15.0,0.0,0.1251852,1541635200.0,,,,
ACU,34.05,121634600.0,Acme United,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,322151400000.0,POST,1.0 - Strong Buy,False,ASE,Acme,Acme United Corporation,finmb_247812,America/New_York,EDT,-14400000.0,us_market,False,2.0,,,,,-0.220001,-0.639724,1648151067.0,34.17,34.17,33.69 - 34.17,33.69,5995.0,34.39,44.0,8.0,10.0,NYSE American,USD,33.65,7611.0,5250.0,4.3499985,0.1458752,29.82 - 48.31,-14.140003,-0.29269308,29.82,48.31,1646125200.0,1650272400.0,1650632400.0,0.52,9.904347,0.015120674,3.45,3.23,2.79,12.247312,3559690.0,21.713,33.0324,1.1376,0.034438916,36.63495,-2.4649506,-0.06728413,10.578947,1.5737115,15.0,0.0,0.057713445,1650585600.0,,,,
